date,region,ev_sales,charging_stations,battery_cost,electricity_price,fuel_price,gdp_index,population,carbon_emission,gov_policy_index,grid_capacity,battery_degradation_index
2021-05-01,Maharashtra,1691.7,147.96,144.06,7.302,93.11,114.81,10318714.0,210.38,54.07,684.98,0.02538
2021-06-01,Maharashtra,1729.18,155.47,143.56,6.781,92.02,114.57,10328491.0,210.92,56.29,678.24,0.02559
2021-07-01,Maharashtra,1742.58,157.7,142.2,7.149,93.33,116.49,10331490.0,209.2,56.4,670.16,0.02747
2021-08-01,Maharashtra,1770.27,163.27,142.33,6.331,92.85,114.98,10339902.0,210.04,57.27,681.39,0.02515
2021-09-01,Maharashtra,1719.11,167.98,134.79,6.739,92.01,114.61,10351026.0,207.7,56.9,684.51,0.02724
2021-10-01,Maharashtra,1627.21,172.25,140.61,6.422,88.37,115.77,10356751.0,207.48,58.32,693.37,0.02654
2021-11-01,Maharashtra,1745.74,174.33,137.62,6.634,87.95,116.38,10371021.0,211.07,57.85,690.49,0.02669
2021-12-01,Maharashtra,1872.9,172.59,138.23,6.599,84.27,117.41,10379450.0,208.76,60.26,700.79,0.02822
2022-01-01,Maharashtra,2316.15,268.74,135.71,7.081,86.27,116.9,10381367.0,207.76,73.02,717.87,0.0277
2022-02-01,Maharashtra,2306.61,264.68,140.37,7.288,84.92,118.34,10392652.0,208.21,73.42,716.29,0.02775
2022-03-01,Maharashtra,2365.71,272.87,134.96,7.295,84.98,116.89,10397246.0,211.03,74.69,737.64,0.02676
2022-04-01,Maharashtra,2433.13,286.96,134.11,7.479,87.79,118.72,10406412.0,209.77,76.36,731.28,0.02833
2022-05-01,Maharashtra,2412.41,280.48,132.01,7.242,86.61,116.51,10417454.0,207.04,76.07,728.51,0.02945
2022-06-01,Maharashtra,2455.23,287.87,129.85,7.076,86.79,120.08,10425618.0,207.84,76.59,729.53,0.02874
2022-07-01,Maharashtra,2111.08,206.98,127.93,7.202,88.04,119.29,10429209.0,205.65,61.91,732.76,0.02979
2022-08-01,Maharashtra,2091.23,201.02,127.3,7.033,89.95,119.38,10439981.0,206.28,61.47,727.4,0.0288
2022-09-01,Maharashtra,2136.27,213.59,130.24,6.693,93.47,119.39,10445557.0,204.53,62.16,733.11,0.02812
2022-10-01,Maharashtra,2116.6,210.55,129.97,6.557,93.03,120.54,10452625.0,206.65,64.6,729.93,0.02848
2022-11-01,Maharashtra,2147.35,215.89,127.88,6.595,95.42,119.51,10465799.0,206.07,63.58,754.66,0.03023
2022-12-01,Maharashtra,2282.27,230.06,130.31,6.851,93.61,120.95,10470962.0,203.89,65.42,763.92,0.02843
2023-01-01,Maharashtra,2291.42,231.56,124.0,7.22,95.84,121.92,10484478.0,203.58,62.71,752.03,0.02798
2023-02-01,Maharashtra,2271.65,226.52,125.03,7.417,92.94,122.0,10487912.0,205.85,65.19,739.76,0.02974
2023-03-01,Maharashtra,2371.01,242.77,122.35,7.309,91.36,121.07,10494834.0,204.44,64.69,767.17,0.02919
2023-04-01,Maharashtra,2396.78,246.44,131.42,7.677,87.36,122.83,10502832.0,205.33,65.83,765.97,0.02856
2023-05-01,Maharashtra,2364.1,238.47,117.66,7.396,90.41,122.83,10511159.0,204.28,66.35,753.3,0.02904
2023-06-01,Maharashtra,2426.83,246.77,122.95,7.281,86.78,124.07,10519286.0,203.78,65.88,777.82,0.02906
2023-07-01,Maharashtra,2501.88,259.51,121.19,7.131,87.67,123.24,10531181.0,202.5,66.65,790.89,0.03043
2023-08-01,Maharashtra,2519.47,261.76,116.86,6.904,85.99,123.78,10543275.0,202.44,67.41,786.15,0.02932
2023-09-01,Maharashtra,2515.92,257.54,119.02,7.01,86.97,122.53,10540079.0,203.15,66.48,792.81,0.03074
2023-10-01,Maharashtra,2571.31,266.61,121.59,6.769,85.59,123.66,10552090.0,202.31,67.14,800.03,0.02877
2023-11-01,Maharashtra,2586.45,268.42,116.04,6.746,87.54,123.07,10559669.0,203.01,67.56,794.21,0.03206
2023-12-01,Maharashtra,2627.16,273.75,121.74,6.991,89.0,124.95,10568962.0,203.42,67.7,803.99,0.03064
2024-01-01,Maharashtra,3146.18,385.02,117.8,7.17,91.76,124.0,10573944.0,202.81,87.56,832.66,0.03044
2024-02-01,Maharashtra,3166.24,385.89,113.4,7.321,93.45,125.24,10582258.0,203.05,86.21,840.56,0.03101
2024-03-01,Maharashtra,3181.95,388.1,112.11,7.347,92.7,125.44,10594758.0,202.4,87.18,832.38,0.02998
2024-04-01,Maharashtra,3203.07,388.16,114.63,7.359,96.03,126.26,10599843.0,202.36,87.2,847.3,0.03222
2024-05-01,Maharashtra,3239.53,397.15,111.83,7.589,95.08,124.95,10609685.0,200.4,87.57,824.71,0.03132
2024-06-01,Maharashtra,3293.26,403.08,110.83,7.426,96.81,125.89,10617836.0,203.24,88.69,849.98,0.03142
2024-07-01,Maharashtra,2874.1,306.58,109.78,7.209,96.73,126.73,10624483.0,201.01,72.55,840.48,0.0314
2024-08-01,Maharashtra,2922.77,313.31,108.77,7.029,94.92,127.97,10632910.0,199.88,72.65,852.12,0.03094
2024-09-01,Maharashtra,2891.84,306.34,105.47,7.169,91.69,128.53,10640913.0,199.62,72.82,833.51,0.03112
2024-10-01,Maharashtra,2947.8,314.07,102.12,6.805,93.06,128.98,10646538.0,199.84,70.59,849.38,0.03268
2024-11-01,Maharashtra,3014.15,324.58,104.7,7.05,89.91,129.53,10657227.0,196.99,71.38,862.33,0.03349
2024-12-01,Maharashtra,3021.01,325.1,105.27,7.022,88.35,128.7,10660867.0,199.84,72.49,850.85,0.03082
2025-01-01,Maharashtra,3056.38,329.08,106.33,7.527,86.27,128.45,10673220.0,197.59,73.48,860.05,0.03311
2025-02-01,Maharashtra,3079.75,330.6,103.29,7.544,84.18,130.1,10676767.0,195.86,73.14,867.26,0.03298
2025-03-01,Maharashtra,3118.57,336.72,100.25,7.928,87.6,130.16,10687572.0,197.89,75.11,866.9,0.03129
2025-04-01,Maharashtra,3159.5,341.25,102.6,7.867,86.58,130.51,10697751.0,196.97,74.61,880.65,0.03435
2025-05-01,Maharashtra,3232.42,355.43,100.41,7.778,89.12,131.23,10703680.0,197.27,74.59,877.87,0.03294
2025-06-01,Maharashtra,3238.02,351.98,100.97,7.576,89.53,131.82,10713169.0,196.3,73.95,891.04,0.03335
2025-07-01,Maharashtra,3254.84,355.64,99.23,7.283,91.7,131.06,10719423.0,196.94,77.65,872.71,0.03184
2025-08-01,Maharashtra,3335.14,364.85,91.34,7.179,94.01,132.48,10725785.0,200.05,75.37,915.34,0.03271
2025-09-01,Maharashtra,3378.79,373.99,95.01,7.121,93.38,133.06,10734961.0,196.61,79.45,901.03,0.03334
2025-10-01,Maharashtra,3344.39,364.97,94.68,7.058,95.27,134.18,10742913.0,196.06,77.7,889.51,0.03441
2025-11-01,Maharashtra,3460.88,385.02,94.42,7.018,97.76,133.73,10755438.0,196.08,77.9,913.75,0.03201
2025-12-01,Maharashtra,3455.65,384.74,94.25,7.049,98.35,132.92,10761444.0,194.13,78.31,887.52,0.03414
2018-01-01,Karnataka,869.79,50.0,181.88,6.653,84.89,101.02,9999018.0,219.24,39.88,514.36,0.02064
2018-02-01,Karnataka,931.11,50.0,176.35,7.039,87.8,100.52,10011841.0,218.39,40.67,513.88,0.01975
2018-03-01,Karnataka,920.87,50.0,179.51,6.704,87.77,100.18,10013846.0,221.26,42.33,517.54,0.022
2018-04-01,Karnataka,957.71,53.5,177.3,6.634,91.12,101.12,10024368.0,217.12,41.13,517.09,0.02088
2018-05-01,Karnataka,963.02,57.18,178.49,6.956,91.29,99.68,10034972.0,218.42,42.43,509.18,0.02128
2018-06-01,Karnataka,974.32,50.0,179.6,6.855,89.67,102.46,10042519.0,219.23,44.44,521.11,0.02068
2018-07-01,Karnataka,1033.39,60.83,173.02,6.601,89.78,102.73,10046649.0,219.93,41.78,527.31,0.02137
2018-08-01,Karnataka,1007.23,60.06,173.03,6.19,89.91,102.66,10059484.0,220.46,43.41,532.53,0.02094
2018-09-01,Karnataka,861.94,67.56,170.14,6.191,88.0,103.32,10066613.0,216.82,41.33,531.25,0.02095
2018-10-01,Karnataka,877.65,62.46,169.83,6.177,84.72,103.14,10071813.0,217.88,42.66,546.12,0.02035
2018-11-01,Karnataka,943.89,70.22,166.76,6.298,83.05,103.82,10078623.0,216.34,43.68,548.56,0.01986
2018-12-01,Karnataka,1098.74,62.81,168.64,6.662,83.62,103.4,10085186.0,218.08,44.55,555.56,0.02228
2019-01-01,Karnataka,1117.56,64.59,167.97,6.662,81.68,104.6,10095731.0,216.75,44.86,560.23,0.02265
2019-02-01,Karnataka,1182.18,78.33,174.22,6.775,80.64,104.28,10103552.0,216.31,45.05,554.08,0.02173
2019-03-01,Karnataka,1166.74,71.04,171.94,6.832,81.16,104.02,10115177.0,214.73,44.39,567.33,0.0223
2019-04-01,Karnataka,1201.68,77.75,166.72,6.877,82.73,105.22,10118221.0,217.34,46.58,562.9,0.02222
2019-05-01,Karnataka,1241.02,82.35,165.2,6.966,83.45,105.55,10126630.0,215.38,45.96,579.63,0.02205
2019-06-01,Karnataka,1235.3,79.65,166.44,6.823,84.52,106.28,10133534.0,216.19,46.43,576.06,0.02454
2019-07-01,Karnataka,1268.44,84.17,165.01,6.819,86.38,107.23,10141709.0,215.66,48.35,583.39,0.02458
2019-08-01,Karnataka,1314.24,91.81,162.6,6.346,86.85,107.0,10152746.0,215.53,47.95,588.96,0.02325
2019-09-01,Karnataka,1230.37,92.41,160.85,6.605,88.72,107.24,10157406.0,214.34,48.08,584.79,0.02385
2019-10-01,Karnataka,1215.33,90.07,160.64,6.441,91.84,108.02,10168824.0,215.11,47.84,596.28,0.02155
2019-11-01,Karnataka,1331.72,94.35,158.85,6.387,91.02,108.16,10176946.0,212.49,48.12,606.66,0.02461
2019-12-01,Karnataka,1387.76,99.97,158.84,6.618,93.13,107.43,10182837.0,212.74,51.81,592.26,0.02182
2020-01-01,Karnataka,1896.53,207.83,161.04,6.59,91.0,109.52,10187189.0,212.7,69.2,631.48,0.02328
2020-02-01,Karnataka,1926.61,210.33,157.17,7.083,88.76,110.31,10201404.0,214.15,69.69,646.94,0.02464
2020-03-01,Karnataka,1954.94,215.19,156.34,7.272,89.11,109.16,10204956.0,214.13,67.98,643.3,0.02427
2020-04-01,Karnataka,1972.77,218.09,154.3,7.17,87.27,109.25,10217020.0,214.45,67.45,636.51,0.02212
2020-05-01,Karnataka,2029.8,228.75,156.19,7.352,84.62,109.07,10221969.0,211.46,69.88,637.56,0.02529
2020-06-01,Karnataka,2027.09,225.08,152.87,7.114,85.84,111.17,10232404.0,214.23,69.44,643.62,0.02542
2020-07-01,Karnataka,1563.01,118.14,152.15,6.646,81.65,110.57,10241496.0,211.2,53.24,638.6,0.02634
2020-08-01,Karnataka,1604.46,126.71,151.85,6.475,85.37,110.13,10249453.0,211.68,52.1,629.21,0.02546
2020-09-01,Karnataka,1640.21,130.81,150.31,6.487,78.36,110.39,10257239.0,211.22,53.9,641.5,0.02302
2020-10-01,Karnataka,1635.0,128.25,150.93,6.369,84.22,112.77,10262342.0,212.08,52.95,635.47,0.02385
2020-11-01,Karnataka,1668.88,132.54,144.87,6.667,83.99,112.49,10270924.0,211.61,52.59,643.22,0.02496
2020-12-01,Karnataka,1636.78,120.2,147.48,6.616,85.79,113.1,10281078.0,210.45,53.12,662.11,0.02432
2021-01-01,Karnataka,1748.58,145.0,148.8,6.759,87.83,112.89,10284469.0,213.18,54.36,650.36,0.02738
2021-02-01,Karnataka,1728.58,135.54,151.15,7.168,91.39,112.56,10297179.0,212.61,56.45,668.08,0.02649
2021-03-01,Karnataka,1760.85,143.74,150.17,7.432,91.9,113.86,10307315.0,211.21,55.95,645.85,0.02549
2021-04-01,Karnataka,1779.93,142.58,142.27,7.301,93.31,114.23,10311742.0,210.18,55.02,667.25,0.02592
2021-05-01,Karnataka,1848.85,155.51,141.92,7.163,93.66,113.0,10320733.0,209.4,55.94,669.48,0.02657
2021-06-01,Karnataka,1843.89,151.29,145.53,7.041,92.64,115.36,10325666.0,208.32,57.08,674.08,0.02627
2021-07-01,Karnataka,1883.21,158.24,139.08,7.097,92.35,115.85,10335567.0,212.6,57.84,670.95,0.02633
2021-08-01,Karnataka,1948.13,166.99,137.06,6.623,92.66,115.48,10346071.0,207.71,56.65,695.27,0.0281
2021-09-01,Karnataka,1956.11,166.68,137.23,6.524,91.74,114.41,10351405.0,208.25,58.86,692.76,0.02705
2021-10-01,Karnataka,1991.54,170.8,141.11,6.819,89.43,116.81,10361193.0,208.47,58.38,702.49,0.02682
2021-11-01,Karnataka,2041.91,180.36,134.57,6.657,86.44,117.18,10368005.0,210.5,57.04,698.14,0.02745
2021-12-01,Karnataka,2055.26,180.32,140.86,6.848,85.9,117.06,10376806.0,208.27,58.69,701.69,0.02547
2022-01-01,Karnataka,2429.48,260.45,137.26,7.141,83.24,117.73,10380113.0,208.01,72.88,717.87,0.02675
2022-02-01,Karnataka,2494.74,271.48,134.71,7.429,84.88,117.54,10389429.0,207.25,72.05,726.17,0.02825
2022-03-01,Karnataka,2486.76,265.81,139.88,7.202,84.93,117.0,10396726.0,207.44,73.66,734.67,0.0275
2022-04-01,Karnataka,2557.51,279.06,134.67,7.47,83.3,118.32,10408223.0,206.82,75.53,736.03,0.0259
2022-05-01,Karnataka,2526.98,269.65,131.62,7.283,86.0,119.57,10416993.0,207.25,74.41,734.73,0.02795
2022-06-01,Karnataka,2562.87,272.91,132.11,7.241,87.81,119.43,10422277.0,206.91,74.99,749.99,0.02713
2022-07-01,Karnataka,2259.9,204.86,128.51,7.178,87.73,118.82,10432748.0,207.34,62.24,725.92,0.02933
2022-08-01,Karnataka,2281.37,206.98,129.4,7.113,90.58,118.86,10438333.0,204.11,61.78,726.21,0.02676
2022-09-01,Karnataka,2330.46,214.07,132.67,6.76,95.9,118.09,10449025.0,203.48,63.59,735.26,0.02859
2022-10-01,Karnataka,2354.42,215.23,128.77,6.681,92.62,119.46,10457368.0,204.61,62.81,745.74,0.0278
2022-11-01,Karnataka,2343.48,210.84,128.85,6.586,93.94,121.56,10464455.0,207.35,63.12,739.76,0.02884
2022-12-01,Karnataka,2407.88,220.32,129.14,6.883,95.75,121.02,10476136.0,204.45,65.08,755.91,0.0301
2023-01-01,Karnataka,2423.41,220.82,126.5,7.192,94.09,120.11,10478123.0,205.17,64.09,757.29,0.03172
2023-02-01,Karnataka,2452.37,223.64,124.28,7.242,92.18,121.42,10486966.0,204.46,64.61,763.64,0.03082
2023-03-01,Karnataka,2551.73,243.01,122.56,7.524,90.63,120.97,10497178.0,205.32,63.97,765.98,0.02866
2023-04-01,Karnataka,2563.85,242.58,117.28,7.454,89.28,122.7,10504797.0,202.54,63.19,768.04,0.0293
2023-05-01,Karnataka,2602.05,249.28,125.34,7.338,87.44,122.04,10514020.0,203.9,67.34,761.66,0.02999
2023-06-01,Karnataka,2601.59,245.69,119.73,7.368,87.13,121.79,10519760.0,206.76,64.96,765.46,0.02691
2023-07-01,Karnataka,2583.5,237.32,121.88,7.264,85.83,123.2,10530513.0,203.03,65.75,774.49,0.03036
2023-08-01,Karnataka,2668.45,251.68,121.34,6.903,85.18,123.3,10537108.0,202.71,65.77,788.05,0.03227
2023-09-01,Karnataka,2699.05,255.74,120.33,6.634,86.59,123.03,10544337.0,202.08,68.58,787.39,0.03033
2023-10-01,Karnataka,2770.45,266.15,118.72,6.476,86.95,124.01,10551033.0,203.54,67.74,806.66,0.03011
2023-11-01,Karnataka,2749.31,261.17,115.67,6.958,88.79,124.08,10561074.0,203.33,66.88,787.03,0.03112
2023-12-01,Karnataka,2852.88,279.32,112.22,7.262,87.29,125.63,10570642.0,201.1,68.06,803.07,0.02921
2024-01-01,Karnataka,3108.28,332.74,116.0,7.29,90.78,125.64,10577669.0,201.57,77.45,813.67,0.03044
2024-02-01,Karnataka,3148.03,337.23,114.52,7.239,93.2,126.88,10586491.0,201.59,80.08,823.63,0.03254
2024-03-01,Karnataka,3131.4,330.7,110.18,7.586,92.51,126.65,10593659.0,201.35,79.18,821.13,0.03172
2024-04-01,Karnataka,3213.9,343.9,114.41,7.703,94.87,127.01,10599719.0,202.73,78.33,837.68,0.03201
2024-05-01,Karnataka,3287.63,357.24,112.33,7.81,92.7,125.85,10608967.0,199.48,80.34,839.47,0.03052
2024-06-01,Karnataka,3277.42,351.9,109.27,7.38,96.49,128.63,10614709.0,201.17,77.99,838.34,0.03113
2024-07-01,Karnataka,3073.59,303.91,101.35,7.521,96.31,127.44,10622190.0,197.65,70.02,827.79,0.03287
2024-08-01,Karnataka,3114.55,309.04,108.48,6.898,96.89,126.73,10629054.0,199.73,71.87,834.31,0.03178
2024-09-01,Karnataka,3166.22,316.41,106.08,7.038,93.22,127.74,10637971.0,198.71,70.48,842.06,0.03063
2024-10-01,Karnataka,3160.92,310.42,107.79,6.916,91.41,128.51,10648035.0,199.7,72.89,852.55,0.03231
2024-11-01,Karnataka,3236.73,326.02,106.03,7.052,89.06,128.91,10654907.0,199.77,73.82,841.16,0.0328
2024-12-01,Karnataka,3264.55,328.22,104.71,6.997,86.34,129.84,10664159.0,199.45,72.51,846.73,0.03434
2025-01-01,Karnataka,3291.59,331.67,101.57,7.116,86.76,129.83,10673351.0,202.68,73.58,842.38,0.03289
2025-02-01,Karnataka,3353.98,338.63,102.41,7.686,87.42,130.65,10680275.0,197.61,74.28,868.97,0.03213
2025-03-01,Karnataka,3353.84,335.57,102.07,8.005,89.99,129.14,10684654.0,198.14,75.16,866.65,0.03337
2025-04-01,Karnataka,3417.2,346.23,104.24,7.831,86.84,131.66,10696335.0,200.63,73.58,869.02,0.03195
2025-05-01,Karnataka,3443.5,347.04,97.71,7.515,90.78,130.05,10702985.0,198.13,74.29,881.14,0.03286
2025-06-01,Karnataka,3478.29,352.45,103.72,7.51,88.7,131.64,10711674.0,196.8,76.54,874.66,0.03384
2025-07-01,Karnataka,3552.86,363.01,99.36,7.424,93.08,130.7,10716971.0,197.72,75.54,894.84,0.03484
2025-08-01,Karnataka,3601.88,369.61,95.99,7.277,93.2,131.22,10724203.0,198.25,75.92,902.18,0.03296
2025-09-01,Karnataka,3625.53,370.0,96.02,6.923,97.4,132.67,10735360.0,198.28,76.62,912.44,0.03298
2025-10-01,Karnataka,3649.02,372.27,96.84,6.909,96.59,133.84,10746294.0,196.58,76.28,909.35,0.03435
2025-11-01,Karnataka,3715.39,383.52,92.49,6.886,97.44,132.89,10751372.0,192.31,77.19,911.38,0.03322
2025-12-01,Karnataka,3722.13,383.95,95.44,7.245,98.53,134.32,10758434.0,194.84,78.54,894.47,0.03269
2018-01-01,Delhi,1002.29,50.0,176.85,6.387,84.37,99.56,10001563.0,221.08,39.18,511.4,0.01965
2018-02-01,Delhi,1005.72,50.0,180.13,6.583,85.81,98.72,10006901.0,221.37,40.89,503.86,0.01846
2018-03-01,Delhi,1032.36,50.0,180.5,6.906,89.22,101.51,10013301.0,220.02,40.05,532.44,0.02172
2018-04-01,Delhi,1021.99,50.0,178.07,7.163,89.9,100.04,10022508.0,217.94,42.19,503.01,0.02122
2018-05-01,Delhi,1075.04,56.08,170.55,7.113,89.23,100.77,10033755.0,221.51,41.78,530.72,0.02067
2018-06-01,Delhi,1066.2,53.05,174.64,6.726,89.95,101.25,10036985.0,220.89,42.6,524.15,0.02117
2018-07-01,Delhi,1089.92,54.71,174.68,6.7,90.29,101.44,10047567.0,217.08,41.91,536.06,0.02093
2018-08-01,Delhi,1082.6,52.43,169.93,6.471,88.0,101.68,10060598.0,219.4,43.29,526.39,0.01944
2018-09-01,Delhi,1085.6,56.68,174.35,6.306,87.57,103.59,10064420.0,218.41,43.42,544.87,0.02063
2018-10-01,Delhi,1139.09,63.96,168.43,6.029,84.87,103.46,10077304.0,220.74,43.42,544.69,0.02319
2018-11-01,Delhi,1162.15,60.63,168.97,6.263,83.81,104.51,10081790.0,216.27,45.59,551.62,0.02057
2018-12-01,Delhi,1219.7,70.57,173.72,6.378,82.67,103.09,10090170.0,219.63,44.39,558.59,0.02243
2019-01-01,Delhi,1206.63,64.95,167.13,6.721,81.89,104.39,10095048.0,215.11,46.38,562.04,0.02358
2019-02-01,Delhi,1266.26,75.54,167.24,6.715,81.59,104.77,10103808.0,215.29,44.85,567.5,0.02219
2019-03-01,Delhi,1246.38,71.75,169.28,6.938,81.63,104.82,10112412.0,216.21,45.19,547.4,0.0236
2019-04-01,Delhi,1255.78,69.6,169.11,7.012,82.71,105.22,10121481.0,215.33,45.78,561.56,0.02292
2019-05-01,Delhi,1292.23,75.37,167.76,6.981,81.78,106.31,10125862.0,217.85,47.45,563.39,0.02354
2019-06-01,Delhi,1344.74,83.32,163.24,6.857,83.37,106.82,10139790.0,212.7,46.96,575.22,0.02228
2019-07-01,Delhi,1380.96,86.74,165.67,6.635,86.46,106.11,10144176.0,212.92,45.67,592.48,0.02269
2019-08-01,Delhi,1395.21,87.38,164.32,6.474,87.58,105.08,10151389.0,216.28,46.76,594.39,0.02288
2019-09-01,Delhi,1394.11,84.68,162.75,6.362,88.6,106.89,10160182.0,213.46,47.38,595.12,0.0234
2019-10-01,Delhi,1408.92,86.92,164.62,6.171,91.53,107.09,10166495.0,214.66,49.61,586.56,0.02345
2019-11-01,Delhi,1462.49,93.78,159.55,6.422,92.28,108.27,10179051.0,212.68,47.87,606.66,0.02281
2019-12-01,Delhi,1505.83,100.78,160.33,6.386,93.29,107.89,10183547.0,215.86,49.98,609.58,0.02336
2020-01-01,Delhi,2073.46,225.33,159.26,6.464,92.86,108.19,10192801.0,212.16,70.47,623.41,0.02412
2020-02-01,Delhi,2050.01,216.61,160.61,7.264,90.25,109.46,10195628.0,213.71,70.82,629.74,0.02402
2020-03-01,Delhi,2117.87,229.84,154.92,7.001,89.14,109.54,10205907.0,214.98,71.39,627.66,0.02439
2020-04-01,Delhi,2100.99,220.89,154.86,7.317,88.03,111.3,10217463.0,212.66,70.34,645.55,0.02213
2020-05-01,Delhi,2121.74,225.49,151.58,7.125,87.51,109.72,10226022.0,211.24,72.04,628.83,0.02354
2020-06-01,Delhi,2140.07,225.21,156.24,6.887,85.98,109.57,10232810.0,210.97,70.05,641.71,0.02602
2020-07-01,Delhi,1701.5,124.36,153.26,6.695,82.68,110.68,10239940.0,212.1,51.07,631.99,0.02563
2020-08-01,Delhi,1726.33,126.28,156.81,6.45,83.52,110.03,10245192.0,213.6,52.35,639.61,0.0266
2020-09-01,Delhi,1748.31,129.83,151.46,6.48,84.32,110.82,10253833.0,211.6,52.73,631.32,0.02355
2020-10-01,Delhi,1765.33,127.98,155.27,6.234,82.8,111.82,10264189.0,210.71,53.08,652.3,0.02508
